| Game Title                                                                     | Discount   | Original Price   | Discounted Price   |
| Ancestors: The Humankind Odyssey                                               | -75%       | $39.99           | $9.99              |
| Resident Evil 4 (2005)                                                         | -75%       | $19.99           | $4.99              |
| Batman: Arkham City - Game of the Year Edition                                 | -75%       | $19.99           | $4.99              |
| Far Cry® 6                                                                     | -75%       | $59.99           | $14.99             |
| Assassin's Creed Valhalla                                                      | -75%       | $59.99           | $14.99             |
| Ghost of a Tale                                                                | -75%       | $19.99           | $4.99              |
| Sniper Ghost Warrior Contracts 2                                               | -75%       | $39.99           | $9.99              |
| Titanfall® 2                                                                   | -75%       | $29.99           | $7.49              |
| Assassin's Creed® Syndicate                                                    | -75%       | $29.99           | $7.49              |
| Assassin's Creed Freedom Cry                                                   | -75%       | $14.99           | $3.74              |
| STAR WARS™ Battlefront™ II                                                     | -75%       | $39.99           | $9.99              |
| Resident Evil 3                                                                | -75%       | $39.99           | $9.99              |
| Children of Morta                                                              | -75%       | $21.99           | $5.49              |
| DRAGON BALL Z: KAKAROT                                                         | -75%       | $59.99           | $14.99             |
| Grand Theft Auto V: Premium Edition & Whale Shark Card Bundle                  | -73%       | $89.97           | $24.74             |
| GreedFall                                                                      | -72%       | $34.99           | $9.79              |
| Kerbal Space Program Complete Edition                                          | -71%       | $69.97           | $19.98             |
| Dragon Age: Origins - Ultimate Edition                                         | -70%       | $29.99           | $8.99              |
| Dragon Age II: Ultimate Edition                                                | -70%       | $29.99           | $8.99              |
| Little Nightmares I & II                                                       | -70%       | $63.93           | $19.43             |
| Assassin's Creed® Revelations                                                  | -70%       | $19.99           | $5.99              |
| Banners of Ruin                                                                | -70%       | $19.99           | $5.99              |
| Train Sim World® 3                                                             | -70%       | $49.99           | $14.99             |
| Void Bastards                                                                  | -70%       | $29.99           | $8.99              |
| Patron                                                                         | -70%       | $19.99           | $5.99              |
| Complete Thief Bundle                                                          | -70%       | $26.98           | $8.04              |
| Generation Zero®                                                               | -70%       | $24.99           | $7.49              |
| The Cook Serve Series Bundle                                                   | -70%       | $72.96           | $21.53             |
| The Witcher 3: Wild Hunt - Complete Edition                                    | -70%       | $49.99           | $14.99             |
| ULTIMATE MARVEL VS. CAPCOM 3                                                   | -70%       | $24.99           | $7.49              |
| Assassin’s Creed® IV Black Flag™                                               | -70%       | $39.99           | $11.99             |
| Assassin’s Creed® Rogue                                                        | -70%       | $19.99           | $5.99              |
| Battlefield™ 2042                                                              | -70%       | $59.99           | $17.99             |
| Operator's Pack                                                                | -70%       | $169.82          | $50.29             |
| SOMA                                                                           | -70%       | $29.99           | $8.99              |
| The Witcher® 3: Wild Hunt                                                      | -70%       | $39.99           | $11.99             |
| Frictional Collection                                                          | -68%       | $134.94          | $43.34             |
| Call of Duty®: WWII                                                            | -67%       | $59.99           | $19.79             |
| Street Fighter 30th Anniversary Collection                                     | -67%       | $29.99           | $9.89              |
| Call of Duty®: Infinite Warfare                                                | -67%       | $59.99           | $19.79             |
| Red Dead Redemption 2                                                          | -67%       | $59.99           | $19.79             |
| PGA TOUR 2K23                                                                  | -67%       | $59.99           | $19.79             |
| Call of Duty®: Black Ops III                                                   | -67%       | $59.99           | $19.79             |
| Call of Duty®: Ghosts                                                          | -67%       | $59.99           | $19.79             |
| Borderlands Game of the Year                                                   | -67%       | $29.99           | $9.89              |
| Call of Duty®: Black Ops III - Zombies Chronicles                              | -67%       | $29.99           | $9.89              |
| Call of Duty®: Black Ops II                                                    | -67%       | $59.99           | $19.79             |
| Call of Duty®: Modern Warfare®                                                 | -67%       | $59.99           | $19.79             |
| Devil May Cry HD Collection                                                    | -67%       | $29.99           | $9.89              |
| Little Nightmares II                                                           | -67%       | $29.99           | $9.89              |
| Devil May Cry 5                                                                | -67%       | $29.99           | $9.89              |
| Call of Duty®: Advanced Warfare - Gold Edition                                 | -67%       | $59.99           | $19.79             |
| The Quarry                                                                     | -67%       | $59.99           | $19.79             |
| Tiny Tina's Wonderlands                                                        | -67%       | $59.99           | $19.79             |
| Call of Duty®: Black Ops Cold War                                              | -67%       | $59.99           | $19.79             |
| Midnight Ghost Hunt                                                            | -66%       | $19.99           | $6.79              |
| Sniper Elite 5                                                                 | -66%       | $49.99           | $16.99             |
| Half-Life: Alyx                                                                | -66%       | $59.99           | $20.39             |
| Tales of Arise                                                                 | -65%       | $84.99           | $29.74             |
| Cloudpunk                                                                      | -65%       | $19.99           | $6.99              |
| Command & Conquer™ Remastered Collection                                       | -65%       | $19.99           | $6.99              |
| Grand Theft Auto V                                                             | -63%       | $39.98           | $14.99             |
| Grand Theft Auto V: Premium Edition                                            | -63%       | $39.98           | $14.99             |
| Mutant Year Zero: Road to Eden                                                 | -60%       | $34.99           | $13.99             |
| Per Aspera                                                                     | -60%       | $29.99           | $11.99             |
| Stick Fight: The Game                                                          | -60%       | $4.99            | $1.99              |
| Overcooked! All You Can Eat                                                    | -60%       | $39.99           | $15.99             |
| Dead by Daylight                                                               | -60%       | $19.99           | $7.99              |
| Resident Evil 7 Biohazard                                                      | -60%       | $19.99           | $7.99              |
| Aliens: Fireteam Elite                                                         | -60%       | $29.99           | $11.99             |
| Hunt: Showdown                                                                 | -60%       | $39.99           | $15.99             |
| Insurgency: Sandstorm                                                          | -60%       | $29.99           | $11.99             |
| Aragami 2                                                                      | -60%       | $34.99           | $13.99             |
| Marvel's Midnight Suns                                                         | -60%       | $59.99           | $23.99             |
| MONSTER HUNTER RISE                                                            | -60%       | $39.99           | $15.99             |
| Generation Zero ® - Ultimate Bundle                                            | -60%       | $87.86           | $35.08             |
| Mafia: Definitive Edition                                                      | -60%       | $59.99           | $23.99             |
| Tom Clancy's Rainbow Six® Siege                                                | -60%       | $19.99           | $7.99              |
| Gang Beasts                                                                    | -60%       | $19.99           | $7.99              |
| The Sims™ 4 Decorator's Dream Bundle                                           | -58%       | $69.97           | $29.08             |
| The Sims™ 4 Pet Lovers Bundle                                                  | -58%       | $69.97           | $29.08             |
| The Sims™ 4 Everyday Sims Bundle                                               | -58%       | $69.97           | $29.08             |
| Aliens: Fireteam Elite - Ultimate Edition                                      | -57%       | $79.93           | $34.24             |
