| Game Title                                                                           | Discount   | Original Price   | Discounted Price   |
| ASTRONEER + Soundtrack                                                               | -62%       | $35.98           | $13.83             |
| Endzone - A World Apart | Complete Edition                                           | -61%       | $48.77           | $19.13             |
| Beholder 3                                                                           | -60%       | $14.99           | $5.99              |
| Mafia: Definitive Edition                                                            | -60%       | $59.99           | $23.99             |
| Giant Squid Collection                                                               | -60%       | $59.98           | $23.73             |
| Dreamscaper                                                                          | -60%       | $24.99           | $9.99              |
| Scorn                                                                                | -60%       | $39.99           | $15.99             |
| Floodland                                                                            | -60%       | $29.99           | $11.99             |
| The Pathless                                                                         | -60%       | $39.99           | $15.99             |
| DNF Duel                                                                             | -60%       | $49.99           | $19.99             |
| SONG OF HORROR COMPLETE EDITION                                                      | -60%       | $29.99           | $11.99             |
| It Takes Two                                                                         | -60%       | $39.99           | $15.99             |
| ASTRONEER                                                                            | -60%       | $29.99           | $11.99             |
| SUPERHOT VR                                                                          | -60%       | $24.99           | $9.99              |
| SUPERHOT: MIND CONTROL DELETE                                                        | -60%       | $24.99           | $9.99              |
| TerraScape                                                                           | -59%       | $22.98           | $9.38              |
| Motorcycle Mechanic Simulator 2021                                                   | -55%       | $19.99           | $8.99              |
| ABZU                                                                                 | -55%       | $19.99           | $8.99              |
| Iron Harvest: Rusviet Revolution                                                     | -55%       | $3.99            | $1.79              |
| A Plague Tale: Requiem                                                               | -55%       | $69.99           | $31.49             |
| A Plague Tale Bundle                                                                 | -55%       | $69.99           | $31.49             |
| The Rewinder                                                                         | -53%       | $15.98           | $7.45              |
| The Rewinder + The Rewinder-Root of Evil                                             | -53%       | $15.98           | $7.45              |
| RPG Maker MZ Bundle S                                                                | -51%       | $186.94          | $91.91             |
| Prison Architect - Total Lockdown                                                    | -51%       | $88.89           | $43.36             |
| Chivalry 2 Special Edition                                                           | -50%       | $49.98           | $24.98             |
| OCTOPATH TRAVELER™                                                                   | -50%       | $59.99           | $29.99             |
| Chivalry 2                                                                           | -50%       | $39.99           | $19.99             |
| Warhammer: Vermintide 2 - Warrior Priest Career                                      | -50%       | $3.99            | $1.99              |
| Warhammer: Vermintide 2 - Back to Ubersreik                                          | -50%       | $9.99            | $4.99              |
| Warhammer: Vermintide 2 - Forgotten Relics Pack                                      | -50%       | $5.99            | $2.99              |
| The Ascent - Cyber Heist                                                             | -50%       | $9.99            | $4.99              |
| Killing Floor 2 - Armory Season Pass                                                 | -50%       | $29.99           | $14.99             |
| Barotrauma                                                                           | -50%       | $34.99           | $17.49             |
| Killing Floor 2 Ultimate Edition                                                     | -50%       | $79.98           | $40.36             |
| LEGO Marvel Super Heroes DLC: Asgard Pack                                            | -50%       | $1.99            | $0.99              |
| Cruelty Squad                                                                        | -50%       | $19.99           | $9.99              |
| Stars End                                                                            | -50%       | $24.99           | $12.49             |
| Destroyer: The U-Boat Hunter                                                         | -50%       | $29.99           | $14.99             |
| LEGO® MARVEL's Avengers DLC - Marvel’s Captain America: Civil War Character Pack     | -50%       | $1.99            | $0.99              |
| LEGO® Marvel Super Heroes 2 - Agents of Atlas                                        | -50%       | $1.99            | $0.99              |
| LEGO® Marvel Super Heroes 2 - Classic Guardians of the Galaxy                        | -50%       | $1.99            | $0.99              |
| LEGO® Marvel Super Heroes 2 - Out of Time Character Pack                             | -50%       | $1.99            | $0.99              |
| Hooded Horse Publisher                                                               | -50%       | $179.93          | $89.30             |
